Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Lucas NG POSITION,Lucas NG LAP TIME,Lucas NG ELAPSED TIME,Daniel ZASTRUGOV POSITION,Daniel ZASTRUGOV LAP TIME,Daniel ZASTRUGOV ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME
1,7.03,7.03,3,7.16,7.16,4,7.68,7.68,2,7.11,7.11
2,9.15,16.18,3,9.41,16.57,4,9.60,17.28,1,8.85,15.96
2,8.52,24.70,3,9.14,25.71,4,9.01,26.29,1,8.45,24.41
2,8.70,33.40,3,9.36,35.07,4,9.22,35.51,1,8.60,33.01
2,9.01,42.41,3,9.51,44.567,4,9.45,44.949,1,8.89,41.90
