Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Milos VIGAS POSITION,Milos VIGAS LAP TIME,Milos VIGAS ELAPSED TIME,LIU Xianwei POSITION,LIU Xianwei LAP TIME,LIU Xianwei ELAPSED TIME,Matthias STELZMUELLER POSITION,Matthias STELZMUELLER LAP TIME,Matthias STELZMUELLER ELAPSED TIME
2,12.95,12.95,1,12.78,12.78,4,13.22,13.22,3,13.08,13.08,5,13.35,13.35
3,10.17,23.12,1,10.15,22.93,2,9.74,22.96,4,10.17,23.25,5,10.06,23.41
3,9.47,32.59,1,9.46,32.39,2,9.55,32.51,4,9.46,32.71,5,9.46,32.87
4,9.89,42.48,1,9.89,42.28,2,9.89,42.40,3,9.76,42.47,5,9.79,42.66
4,9.71,52.19,2,9.70,51.98,3,9.73,52.13,1,9.36,51.83,5,9.71,52.37
2,9.19,1:01.38,3,9.41,1:01.39,4,9.52,1:01.65,1,9.44,1:01.27,5,9.65,1:02.02
1,9.09,1:10.47,3,9.60,1:10.99,4,9.73,1:11.38,2,9.35,1:10.62,5,10.11,1:12.13
1,9.29,1:19.76,3,9.82,1:20.81,4,10.10,1:21.48,2,9.25,1:19.87,5,21.85,1:33.98
2,9.71,1:29.464,3,10.30,1:31.103,4,10.76,1:32.238,1,9.46,1:29.329,5,21.11,1:55.087
