BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME,THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME
1,7.66,7.66,2,7.74,7.74,3,7.85,7.85,4,8.00,8.00
1,9.76,17.42,2,9.79,17.53,3,9.80,17.65,4,9.73,17.73
2,9.16,26.58,1,9.04,26.57,3,9.13,26.78,4,9.14,26.87
2,9.45,36.03,1,9.34,35.91,3,9.36,36.14,4,9.34,36.21
2,,45.598,1,9.57,45.48,4,,45.647,3,,45.625
