Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Marie-Andree MENDES-CAMPEAU POSITION,Marie-Andree MENDES-CAMPEAU LAP TIME,Marie-Andree MENDES-CAMPEAU ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME
4,15.02,15.02,3,14.90,14.90,1,14.71,14.71,2,14.79,14.79
2,11.53,26.55,4,11.84,26.74,1,11.77,26.48,3,11.79,26.58
3,10.84,37.39,4,10.80,37.54,1,10.66,37.14,2,10.70,37.28
4,10.28,47.67,3,9.83,47.37,1,10.06,47.20,2,10.02,47.30
4,10.15,57.82,2,10.20,57.57,1,10.26,57.46,3,10.28,57.58
4,10.01,1:07.83,2,9.74,1:07.31,1,9.77,1:07.23,3,9.94,1:07.52
4,9.99,1:17.82,1,9.46,1:16.77,2,9.54,1:16.77,3,9.60,1:17.12
4,10.51,1:28.33,2,10.26,1:27.03,1,10.11,1:26.88,3,10.11,1:27.23
4,11.48,1:39.805,2,10.25,1:37.271,1,10.30,1:37.171,3,10.59,1:37.814
