KIM Yong-Sung POSITION,KIM Yong-Sung LAP TIME,KIM Yong-Sung ELAPSED TIME,Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME
2,13.93,13.93,1,13.84,13.84,3,13.98,13.98,4,14.09,14.09
3,10.89,24.82,2,10.84,24.68,1,10.66,24.64,4,11.04,25.13
3,10.32,35.15,2,10.25,34.93,1,10.07,34.71,4,10.07,35.21
3,9.97,45.12,2,10.04,44.98,1,10.13,44.85,4,10.16,45.38
1,9.28,54.41,3,9.44,54.42,2,9.57,54.42,4,9.60,54.98
3,9.56,1:03.98,1,9.33,1:03.76,2,9.46,1:03.88,4,9.19,1:04.17
3,9.12,1:13.10,1,9.18,1:12.94,2,9.10,1:12.99,4,9.21,1:13.39
2,8.90,1:22.00,1,8.96,1:21.91,3,9.03,1:22.02,4,8.84,1:22.24
3,9.28,1:31.276,1,9.06,1:30.961,2,9.12,1:31.137,4,9.40,1:31.634
