Ivan BIALOU POSITION,Ivan BIALOU LAP TIME,Ivan BIALOU ELAPSED TIME,Thomas MOGENDORFF POSITION,Thomas MOGENDORFF LAP TIME,Thomas MOGENDORFF ELAPSED TIME,Nikolay FEDORENKO POSITION,Nikolay FEDORENKO LAP TIME,Nikolay FEDORENKO ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME
1,6.771,6.771,3,7.109,7.109,4,7.248,7.248,2,6.807,6.807
1,9.385,16.155,2,9.199,16.308,3,9.147,16.394,4,9.759,16.566
2,8.841,24.995,3,8.766,25.074,4,8.901,25.295,1,8.180,24.745
3,9.177,34.172,2,8.942,34.015,4,8.933,34.227,1,8.782,33.526
3,9.27,43.438,2,9.30,43.308,4,9.29,43.511,1,9.38,42.903
