Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Rozsa DARAZS POSITION,Rozsa DARAZS LAP TIME,Rozsa DARAZS ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,Yulyia YELSAKOVA POSITION,Yulyia YELSAKOVA LAP TIME,Yulyia YELSAKOVA ELAPSED TIME
2,9.79,9.79,1,9.60,9.60,3,9.85,9.85,4,9.98,9.98,5,10.08,10.08
1,13.40,23.19,5,14.47,24.07,3,13.68,23.53,2,13.29,23.27,4,13.63,23.71
2,12.03,35.22,3,11.40,35.47,4,12.09,35.62,1,11.84,35.11,5,12.01,35.72
2,12.06,47.28,3,11.91,47.38,4,11.77,47.39,1,12.00,47.11,5,11.86,47.58
2,11.97,59.25,3,12.01,59.39,4,12.13,59.52,1,11.95,59.06,5,12.21,59.79
2,11.76,1:11.01,3,11.75,1:11.14,4,11.67,1:11.19,1,11.81,1:10.87,5,11.81,1:11.60
3,11.52,1:22.53,2,11.36,1:22.50,4,11.46,1:22.65,1,11.55,1:22.42,5,11.44,1:23.04
3,11.03,1:33.56,1,10.90,1:33.40,4,11.08,1:33.73,2,10.98,1:33.40,5,10.83,1:33.87
1,10.62,1:44.18,3,10.92,1:44.32,4,10.80,1:44.53,2,10.87,1:44.27,5,10.74,1:44.61
1,10.26,1:54.44,2,10.27,1:54.59,3,10.16,1:54.69,4,10.43,1:54.70,5,10.45,1:55.06
1,10.03,2:04.47,2,10.05,2:04.64,4,10.09,2:04.78,3,10.02,2:04.72,5,10.69,2:05.75
1,10.03,2:14.50,2,10.03,2:14.67,3,10.09,2:14.87,4,10.18,2:14.90,5,11.25,2:17.00
2,10.21,2:24.71,1,9.66,2:24.33,4,10.12,2:24.99,3,9.99,2:24.89,5,11.98,2:28.98
2,10.24,2:34.943,1,10.06,2:34.384,4,10.38,2:35.362,3,10.09,2:34.980,5,12.82,2:41.792
