WATANABE Aoi POSITION,WATANABE Aoi LAP TIME,WATANABE Aoi ELAPSED TIME,JACOBS Gina POSITION,JACOBS Gina LAP TIME,JACOBS Gina ELAPSED TIME,GAGNON Claudia POSITION,GAGNON Claudia LAP TIME,GAGNON Claudia ELAPSED TIME,YAKIMOVA Anna POSITION,YAKIMOVA Anna LAP TIME,YAKIMOVA Anna ELAPSED TIME,Jamie JURAK POSITION,Jamie JURAK LAP TIME,Jamie JURAK ELAPSED TIME,IVANDIC Danijela POSITION,IVANDIC Danijela LAP TIME,IVANDIC Danijela ELAPSED TIME
2,10.07,10.07,1,9.88,9.88,3,10.19,10.19,4,10.36,10.36,5,10.49,10.49,6,10.63,10.63
2,13.94,24.01,1,13.97,23.85,3,14.01,24.20,4,14.01,24.37,5,14.02,24.51,6,14.01,24.64
2,13.31,37.32,1,13.30,37.15,3,13.27,37.47,4,13.26,37.63,5,13.26,37.77,6,13.25,37.89
2,12.69,50.01,1,12.74,49.89,3,12.66,50.13,4,12.62,50.25,5,12.59,50.36,6,12.58,50.47
2,12.47,1:02.48,1,12.44,1:02.33,3,12.46,1:02.59,4,12.49,1:02.74,5,12.52,1:02.88,6,12.49,1:02.96
1,11.79,1:14.27,2,12.03,1:14.36,3,11.86,1:14.45,4,11.87,1:14.61,5,11.85,1:14.73,6,11.85,1:14.81
1,10.83,1:25.10,2,10.86,1:25.22,3,10.78,1:25.23,4,10.80,1:25.41,5,10.86,1:25.59,6,10.88,1:25.69
1,9.93,1:35.03,3,9.97,1:35.19,2,9.88,1:35.11,4,10.03,1:35.44,5,10.05,1:35.64,6,10.00,1:35.69
2,9.93,1:44.96,3,9.88,1:45.07,1,9.76,1:44.87,4,9.84,1:45.28,6,10.21,1:45.85,5,9.85,1:45.54
1,9.70,1:54.66,3,9.73,1:54.80,2,9.82,1:54.69,4,9.87,1:55.15,6,10.11,1:55.96,5,9.84,1:55.38
1,9.74,2:04.40,3,9.80,2:04.60,2,9.81,2:04.50,4,10.20,2:05.35,6,10.43,2:06.39,5,10.21,2:05.59
1,9.80,2:14.20,3,9.80,2:14.40,2,9.77,2:14.27,4,10.39,2:15.74,6,10.52,2:16.91,5,10.76,2:16.35
1,9.96,2:24.16,3,9.94,2:24.34,2,9.97,2:24.24,4,11.04,2:26.78,6,10.59,2:27.50,5,11.11,2:27.46
2,10.18,2:34.34,3,10.06,2:34.40,1,10.00,2:34.24,4,11.29,2:38.070,5,11.06,2:38.564,6,11.48,2:38.949
