Patrick DUFFY POSITION,Patrick DUFFY LAP TIME,Patrick DUFFY ELAPSED TIME,Tunay SIMSEK POSITION,Tunay SIMSEK LAP TIME,Tunay SIMSEK ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Alex BRYANT POSITION,Alex BRYANT LAP TIME,Alex BRYANT ELAPSED TIME
1,6.86,6.86,5,7.49,7.49,2,7.01,7.01,3,7.19,7.19,4,7.33,7.33
1,9.00,15.86,5,9.60,17.09,2,8.94,15.95,3,8.88,16.07,4,8.90,16.23
1,8.42,24.28,5,9.31,26.40,2,8.43,24.38,2,8.31,24.38,4,8.49,24.72
1,8.58,32.86,5,9.48,35.88,2,8.61,32.99,3,8.83,33.21,4,8.82,33.54
2,8.70,41.56,5,9.62,45.50,1,8.46,41.45,3,8.44,41.65,4,8.92,42.46
