van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME
2,14.13,14.13,1,14.01,14.01,4,14.41,14.41,3,14.24,14.24
2,11.12,25.25,1,11.10,25.11,4,11.08,25.49,3,11.12,25.36
2,10.35,35.60,1,10.41,35.52,4,10.40,35.89,3,10.34,35.70
2,9.85,45.45,1,9.84,45.36,4,9.80,45.69,3,9.77,45.47
1,10.02,55.47,3,10.55,55.91,2,9.92,55.61,4,24.79,1:10.26
1,10.16,1:05.63,3,9.93,1:05.84,2,10.05,1:05.66,4,15.70,1:25.96
2,9.95,1:15.58,3,9.90,1:15.74,1,9.50,1:15.16,4,12.29,1:38.25
2,9.90,1:25.48,3,9.94,1:25.68,1,9.65,1:24.81,4,11.43,1:49.68
2,10.23,1:35.708,3,10.41,1:36.089,1,9.95,1:34.756,0,,PEN
