Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Takayuki MURATAKE POSITION,Takayuki MURATAKE LAP TIME,Takayuki MURATAKE ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME
2,6.93,6.93,1,6.92,6.92,5,7.63,7.63,3,7.08,7.08,4,7.35,7.35
2,9.06,15.99,1,9.03,15.95,5,9.12,16.75,3,9.01,16.09,4,9.05,16.40
1,8.76,24.75,3,9.01,24.96,5,8.49,25.24,2,8.76,24.85,4,8.58,24.98
1,8.77,33.52,3,8.81,33.77,5,8.71,33.95,2,8.77,33.62,4,8.90,33.88
1,8.99,42.510,3,9.16,42.931,4,9.08,43.027,5,41.60,1:15.219,2,8.96,42.837
