Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,Alyson DUDEK POSITION,Alyson DUDEK LAP TIME,Alyson DUDEK ELAPSED TIME
1,9.54,16.85,2,9.51,16.86,3,9.37,16.89
2,9.17,26.02,1,9.10,25.97,3,9.23,26.13
2,9.28,35.30,1,9.24,35.21,3,9.24,35.37
2,9.45,44.747,1,9.45,44.660,3,9.60,44.962
