BRUNELLE Florence POSITION,BRUNELLE Florence LAP TIME,BRUNELLE Florence ELAPSED TIME,KIM Geon Hee POSITION,KIM Geon Hee LAP TIME,KIM Geon Hee ELAPSED TIME,ZYCH Magdalena POSITION,ZYCH Magdalena LAP TIME,ZYCH Magdalena ELAPSED TIME,Hailey CHOI POSITION,Hailey CHOI LAP TIME,Hailey CHOI ELAPSED TIME
1,7.32,7.32,3,7.66,7.66,2,7.54,7.54,4,7.98,7.98
1,9.32,16.64,3,9.46,17.12,2,9.48,17.02,4,9.61,17.59
1,8.93,25.57,2,8.82,25.94,3,9.13,26.15,4,9.20,26.79
1,9.19,34.76,2,8.83,34.77,3,9.41,35.56,4,9.40,36.19
2,9.23,43.99,1,9.12,43.89,3,9.67,45.23,4,9.69,45.880
