Claudio RINALDI POSITION,Claudio RINALDI LAP TIME,Claudio RINALDI ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME
2,14.99,14.99,1,14.92,14.92,3,15.27,15.27
2,11.75,26.74,1,11.72,26.64,3,11.78,27.05
2,10.72,37.47,1,10.68,37.33,3,10.66,37.72
3,10.04,47.51,1,9.83,47.16,2,9.77,47.50
3,9.22,56.74,2,9.06,56.22,1,8.67,56.17
3,8.85,1:05.60,1,8.85,1:05.07,2,9.08,1:05.25
3,8.88,1:14.49,1,8.95,1:14.03,2,8.93,1:14.19
3,9.38,1:23.87,1,9.08,1:23.11,2,8.96,1:23.15
3,10.57,1:34.440,2,9.81,1:32.914,1,9.29,1:32.438
