KIM Seoung Il POSITION,KIM Seoung Il LAP TIME,KIM Seoung Il ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME
1,8.10,8.10,4,8.45,8.45,5,8.52,8.52,2,8.23,8.23,3,8.29,8.29,6,8.71,8.71
2,12.00,20.10,5,11.97,20.42,6,12.05,20.57,3,11.88,20.11,4,11.85,20.14,1,11.10,19.81
2,10.93,31.03,5,10.87,31.29,6,10.88,31.45,4,10.95,31.06,1,10.74,30.88,3,11.23,31.04
1,10.11,41.14,3,10.13,41.42,6,10.17,41.62,5,10.41,41.47,2,10.44,41.32,4,10.41,41.45
2,9.57,50.71,5,9.74,51.16,3,9.23,50.85,1,9.16,50.63,4,9.59,50.91,6,9.82,51.27
1,9.62,1:00.33,6,9.75,1:00.91,3,9.78,1:00.63,2,9.81,1:00.44,4,9.77,1:00.68,5,9.61,1:00.88
1,9.40,1:09.73,6,9.41,1:10.32,4,9.48,1:10.11,2,9.37,1:09.81,3,9.29,1:09.97,5,9.35,1:10.23
1,9.35,1:19.08,5,9.36,1:19.68,4,9.43,1:19.54,3,9.65,1:19.46,2,9.28,1:19.25,6,9.46,1:19.69
6,30.99,1:50.07,5,9.73,1:29.41,2,9.40,1:28.94,1,9.36,1:28.82,3,9.76,1:29.01,4,9.53,1:29.22
6,22.49,2:12.56,3,9.31,1:38.72,2,9.64,1:38.58,1,9.61,1:38.43,5,33.34,2:02.35,4,9.50,1:38.72
6,14.59,2:27.15,4,9.56,1:48.28,2,9.41,1:47.99,1,9.38,1:47.81,5,15.16,2:17.51,3,9.44,1:48.16
6,11.87,2:39.02,3,9.05,1:57.33,1,9.24,1:57.23,2,9.52,1:57.33,5,12.18,2:29.69,4,9.49,1:57.65
6,11.41,2:50.43,3,9.15,2:06.48,2,9.23,2:06.46,1,9.12,2:06.45,5,11.56,2:41.25,4,10.22,2:07.87
5,11.26,3:01.682,2,9.29,2:15.763,0,,DQ,1,9.27,2:15.712,4,11.43,2:52.678,3,10.16,2:18.022
