Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Selim TANRIKULU POSITION,Selim TANRIKULU LAP TIME,Selim TANRIKULU ELAPSED TIME
1,6.92,6.92,2,7.02,7.02,3,7.14,7.14,4,7.30,7.30
1,9.15,16.07,3,9.17,16.19,2,9.04,16.18,4,9.19,16.49
1,8.60,24.67,3,8.68,24.87,2,8.62,24.80,4,8.67,25.16
1,8.79,33.46,2,8.66,33.53,3,8.90,33.70,4,8.86,34.02
2,9.05,42.508,1,8.79,42.314,3,8.91,42.610,4,9.07,43.084
