WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,ANDERMANN Nico POSITION,ANDERMANN Nico LAP TIME,ANDERMANN Nico ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,Adam FILIPOWICZ POSITION,Adam FILIPOWICZ LAP TIME,Adam FILIPOWICZ ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME
1,8.57,8.57,5,9.05,9.05,2,8.70,8.70,6,9.14,9.14,3,8.76,8.76,4,8.88,8.88
1,12.65,21.22,5,12.63,21.68,2,12.63,21.33,6,12.71,21.85,3,12.69,21.45,4,12.73,21.61
1,12.64,33.86,5,12.60,34.28,2,12.69,34.02,6,12.55,34.40,3,12.66,34.11,4,12.61,34.22
1,12.72,46.58,5,12.85,47.13,3,12.75,46.77,6,12.89,47.29,2,12.62,46.73,4,12.74,46.96
1,11.66,58.24,5,11.45,58.58,4,11.68,58.45,6,11.43,58.72,3,11.61,58.34,2,11.31,58.27
2,11.18,1:09.42,5,11.06,1:09.64,4,11.15,1:09.60,6,11.06,1:09.78,3,11.15,1:09.49,1,11.07,1:09.34
1,10.85,1:20.27,2,10.72,1:20.36,5,10.93,1:20.53,6,10.94,1:20.72,4,11.03,1:20.52,3,11.10,1:20.44
1,9.86,1:30.13,2,9.87,1:30.23,3,9.72,1:30.25,6,9.96,1:30.68,5,9.96,1:30.48,4,9.92,1:30.36
1,9.65,1:39.78,2,9.65,1:39.88,5,9.95,1:40.20,6,9.64,1:40.32,4,9.63,1:40.11,3,9.64,1:40.00
1,9.49,1:49.27,2,9.47,1:49.35,5,9.52,1:49.72,6,9.52,1:49.84,4,9.48,1:49.59,3,9.49,1:49.49
1,9.26,1:58.53,2,9.29,1:58.64,5,9.45,1:59.17,6,9.42,1:59.26,4,9.17,1:58.76,3,9.17,1:58.66
1,8.99,2:07.52,2,8.98,2:07.62,5,9.52,2:08.69,6,9.45,2:08.71,4,9.22,2:07.98,3,9.07,2:07.73
1,9.07,2:16.59,2,9.03,2:16.65,5,10.25,2:18.94,6,11.92,2:20.63,4,9.42,2:17.40,3,9.04,2:16.77
1,9.24,2:25.816,3,,2:26.060,5,10.66,2:29.586,6,12.32,2:32.916,4,9.78,2:27.172,2,,2:26.047
