Hiroko SADAKANE POSITION,Hiroko SADAKANE LAP TIME,Hiroko SADAKANE ELAPSED TIME,Ekaterina BELOVA POSITION,Ekaterina BELOVA LAP TIME,Ekaterina BELOVA ELAPSED TIME,Valerie LAMBERT POSITION,Valerie LAMBERT LAP TIME,Valerie LAMBERT ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME
3,7.56,7.56,1,7.25,7.25,2,7.43,7.43,4,7.60,7.60
3,9.52,17.08,1,9.53,16.78,2,9.56,16.99,4,9.61,17.21
2,8.98,26.07,1,9.27,26.06,3,9.27,26.26,4,9.14,26.36
2,9.37,35.44,1,9.18,35.24,3,9.30,35.57,4,9.36,35.72
4,10.02,45.455,1,9.82,45.051,2,9.54,45.109,3,9.66,45.378
