Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME
3,13.18,13.18,4,13.57,13.57,1,13.04,13.04,2,13.14,13.14
2,10.70,23.88,4,10.43,24.00,1,10.75,23.79,3,10.75,23.89
2,9.72,33.60,4,9.85,33.85,1,9.79,33.58,3,9.85,33.74
1,9.51,43.11,4,9.66,43.51,2,9.62,43.20,3,9.59,43.33
2,9.70,52.81,4,9.53,53.04,1,9.46,52.66,3,9.55,52.88
2,9.62,1:02.43,4,9.66,1:02.70,1,9.63,1:02.29,3,9.62,1:02.50
2,9.62,1:12.05,4,9.70,1:12.40,1,9.62,1:11.91,3,9.67,1:12.17
2,9.76,1:21.81,4,10.31,1:22.71,1,9.79,1:21.70,3,9.86,1:22.03
2,10.04,1:31.846,4,11.08,1:33.781,1,10.04,1:31.740,3,10.46,1:32.488
