Evita KRIEVANE POSITION,Evita KRIEVANE LAP TIME,Evita KRIEVANE ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,BURIC Katarina POSITION,BURIC Katarina LAP TIME,BURIC Katarina ELAPSED TIME
1,13.60,13.60,2,13.77,13.77,3,13.88,13.88,4,14.55,14.55
1,10.37,23.97,2,10.32,24.09,3,10.33,24.21,4,10.67,25.22
1,10.32,34.29,2,10.28,34.37,3,10.28,34.49,4,10.82,36.04
3,10.27,44.56,1,9.98,44.35,2,10.05,44.54,4,11.51,47.55
3,10.15,54.71,1,10.12,54.47,2,10.02,54.56,4,11.66,59.21
3,10.32,1:05.03,1,10.12,1:04.59,2,10.15,1:04.71,4,11.92,1:11.13
3,10.65,1:15.68,1,9.92,1:14.51,2,9.90,1:14.61,4,12.56,1:23.69
3,11.19,1:26.87,1,9.96,1:24.47,2,9.96,1:24.57,4,13.34,1:37.03
3,11.64,1:38.504,1,10.03,1:34.499,2,10.05,1:34.616,4,12.51,1:49.539
