Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME,Yauheni RYZHOU POSITION,Yauheni RYZHOU LAP TIME,Yauheni RYZHOU ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Matthias STELZMUELLER POSITION,Matthias STELZMUELLER LAP TIME,Matthias STELZMUELLER ELAPSED TIME
1,8.76,8.76,2,8.95,8.95,4,9.10,9.10,5,9.22,9.22,6,9.39,9.39,3,8.99,8.99
1,12.62,21.38,2,12.56,21.51,3,12.49,21.59,4,12.47,21.69,6,12.57,21.96,5,12.72,21.71
2,12.12,33.50,3,12.10,33.61,1,11.86,33.45,5,12.14,33.83,6,12.04,34.00,4,12.01,33.72
2,11.92,45.42,3,11.93,45.54,1,11.87,45.32,5,11.94,45.77,6,11.95,45.95,4,11.93,45.65
2,11.93,57.35,3,11.94,57.48,1,11.88,57.20,6,11.93,57.70,4,11.61,57.56,5,11.94,57.59
3,10.08,1:07.43,4,9.98,1:07.46,2,10.16,1:07.36,6,10.26,1:07.96,1,9.69,1:07.25,5,10.23,1:07.82
3,9.99,1:17.42,4,10.17,1:17.63,2,10.00,1:17.36,6,9.74,1:17.70,1,9.95,1:17.20,5,9.87,1:17.69
3,10.31,1:27.73,4,10.21,1:27.84,2,10.27,1:27.63,6,10.31,1:28.01,1,10.37,1:27.57,5,10.28,1:27.97
1,9.79,1:37.52,4,10.14,1:37.98,3,10.23,1:37.86,6,10.37,1:38.38,2,10.10,1:37.67,5,10.41,1:38.38
1,10.18,1:47.70,3,9.88,1:47.86,4,10.14,1:48.00,5,10.20,1:48.58,2,10.04,1:47.71,6,10.44,1:48.82
2,9.70,1:57.40,3,9.65,1:57.51,4,9.61,1:57.61,5,10.07,1:58.65,1,9.61,1:57.32,6,10.17,1:58.99
2,9.71,2:07.11,3,9.77,2:07.28,4,10.03,2:07.64,5,10.80,2:09.45,1,9.78,2:07.10,6,10.67,2:09.66
1,9.34,2:16.45,3,9.63,2:16.91,4,10.43,2:18.07,6,11.18,2:20.63,2,9.58,2:16.68,5,10.72,2:20.38
0,,PEN,2,10.43,2:27.338,3,11.28,2:29.350,5,11.15,2:31.777,1,9.55,2:26.222,4,11.13,2:31.509
