Yu MIURA POSITION,Yu MIURA LAP TIME,Yu MIURA ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME,Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME
1,7.40,7.40,3,7.64,7.64,2,7.40,7.40
2,9.76,17.16,3,9.65,17.29,1,9.62,17.02
2,8.60,25.76,3,8.66,25.95,1,8.65,25.67
2,8.66,34.42,3,8.71,34.66,1,8.66,34.33
2,8.89,43.310,3,9.04,43.699,1,8.96,43.286
