Claude GILBERT POSITION,Claude GILBERT LAP TIME,Claude GILBERT ELAPSED TIME,Alexandre ST JEAN POSITION,Alexandre ST JEAN LAP TIME,Alexandre ST JEAN ELAPSED TIME,Sebastian KLOSINSKI POSITION,Sebastian KLOSINSKI LAP TIME,Sebastian KLOSINSKI ELAPSED TIME,LUI Pan To Barton POSITION,LUI Pan To Barton LAP TIME,LUI Pan To Barton ELAPSED TIME
4,13.80,13.80,3,13.69,13.69,2,13.56,13.56,1,13.36,13.36
4,9.89,23.69,3,9.94,23.63,2,9.95,23.51,1,10.00,23.36
3,9.29,32.98,2,9.29,32.92,4,9.56,33.07,1,9.47,32.83
4,9.56,42.54,2,9.30,42.22,3,9.25,42.32,1,9.28,42.11
4,9.22,51.76,2,9.35,51.57,3,9.36,51.68,1,9.37,51.48
4,9.36,1:01.12,1,9.18,1:00.75,3,9.42,1:01.10,2,9.57,1:01.05
4,9.73,1:10.85,1,9.23,1:09.98,2,9.25,1:10.35,3,9.80,1:10.85
3,9.11,1:19.96,1,9.27,1:19.25,2,9.52,1:19.87,4,10.05,1:20.90
2,9.42,1:29.372,1,9.70,1:28.941,3,9.68,1:29.547,4,10.25,1:31.148
