Audrey PHANEUF POSITION,Audrey PHANEUF LAP TIME,Audrey PHANEUF ELAPSED TIME,Ylenia TOTA POSITION,Ylenia TOTA LAP TIME,Ylenia TOTA ELAPSED TIME,Gulnur GANIYEVA POSITION,Gulnur GANIYEVA LAP TIME,Gulnur GANIYEVA ELAPSED TIME,XIAO Han POSITION,XIAO Han LAP TIME,XIAO Han ELAPSED TIME,MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME
4,9.67,9.67,3,9.60,9.60,6,9.78,9.78,1,9.48,9.48,5,9.76,9.76,2,9.52,9.52
4,14.81,24.48,3,14.79,24.39,6,15.01,24.79,2,14.77,24.25,5,14.88,24.64,1,14.60,24.12
5,14.19,38.67,3,14.13,38.52,2,13.72,38.51,1,14.15,38.40,6,14.18,38.82,4,14.52,38.64
5,13.12,51.79,3,12.98,51.50,2,12.95,51.46,1,12.87,51.27,6,13.10,51.92,4,13.03,51.67
3,12.14,1:03.93,2,12.37,1:03.87,4,12.50,1:03.96,1,12.50,1:03.77,5,12.07,1:03.99,6,12.41,1:04.08
4,10.68,1:14.61,3,10.70,1:14.57,5,10.74,1:14.70,2,10.66,1:14.43,1,10.19,1:14.18,6,10.85,1:14.93
4,10.22,1:24.83,3,10.14,1:24.71,5,10.29,1:24.99,1,10.16,1:24.59,2,10.47,1:24.65,6,10.22,1:25.15
3,9.94,1:34.77,2,9.94,1:34.65,5,10.37,1:35.36,1,9.92,1:34.51,4,10.49,1:35.14,6,10.37,1:35.52
3,10.09,1:44.86,2,10.09,1:44.74,5,10.58,1:45.94,1,10.14,1:44.65,4,10.35,1:45.49,6,10.54,1:46.06
3,10.18,1:55.04,2,10.14,1:54.88,5,11.08,1:57.02,1,10.04,1:54.69,4,10.51,1:56.00,6,11.03,1:57.09
3,10.36,2:05.40,2,10.32,2:05.20,5,11.48,2:08.50,1,10.15,2:04.84,4,11.04,2:07.04,6,11.46,2:08.55
3,10.76,2:16.16,2,10.67,2:15.87,6,11.92,2:20.42,1,10.21,2:15.05,4,11.42,2:18.46,5,11.15,2:19.70
3,11.10,2:27.26,2,11.18,2:27.05,6,12.38,2:32.80,1,10.46,2:25.51,4,11.79,2:30.25,5,11.67,2:31.37
3,11.40,2:38.654,2,11.35,2:38.399,5,13.37,2:46.165,1,11.19,2:36.699,6,22.45,2:52.696,4,12.07,2:43.433
