XU Hongzhi POSITION,XU Hongzhi LAP TIME,XU Hongzhi ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,KAUFMANN-LUDWIG Leon POSITION,KAUFMANN-LUDWIG Leon LAP TIME,KAUFMANN-LUDWIG Leon ELAPSED TIME,Armstrong LAZENBY POSITION,Armstrong LAZENBY LAP TIME,Armstrong LAZENBY ELAPSED TIME,PARK Ji Won POSITION,PARK Ji Won LAP TIME,PARK Ji Won ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME,KIKUCHI Kota POSITION,KIKUCHI Kota LAP TIME,KIKUCHI Kota ELAPSED TIME
5,10.07,10.07,3,9.75,9.75,2,9.70,9.70,1,9.61,9.61,6,10.32,10.32,4,9.90,9.90,7,10.53,10.53
6,14.04,24.11,4,14.21,23.96,3,14.23,23.93,1,14.02,23.63,5,13.77,24.09,2,13.90,23.80,7,13.66,24.19
7,12.61,36.72,6,12.66,36.62,1,12.08,36.01,3,12.61,36.24,5,12.38,36.47,4,12.55,36.35,2,11.92,36.11
7,11.93,48.65,6,11.88,48.50,1,11.82,47.83,4,11.99,48.23,5,11.92,48.39,3,11.71,48.06,2,11.86,47.97
7,12.12,1:00.77,6,12.11,1:00.61,2,12.21,1:00.04,1,11.70,59.93,5,12.11,1:00.50,4,12.26,1:00.32,3,12.23,1:00.20
7,11.56,1:12.33,6,11.60,1:12.21,1,11.65,1:11.69,4,11.88,1:11.81,5,11.61,1:12.11,3,11.44,1:11.76,2,11.55,1:11.75
3,10.10,1:22.43,6,10.54,1:22.75,2,10.70,1:22.39,5,10.89,1:22.70,7,10.76,1:22.87,4,10.73,1:22.49,1,10.54,1:22.29
1,9.33,1:31.76,4,9.19,1:31.94,3,9.51,1:31.90,6,9.54,1:32.24,7,9.48,1:32.35,5,9.55,1:32.04,2,9.54,1:31.83
1,9.45,1:41.21,3,9.41,1:41.35,7,31.18,2:03.08,5,9.42,1:41.66,6,9.46,1:41.81,4,9.43,1:41.47,2,9.39,1:41.22
2,9.37,1:50.58,3,9.31,1:50.66,7,12.44,2:15.52,6,9.45,1:51.11,5,9.25,1:51.06,4,9.30,1:50.77,1,9.17,1:50.39
3,9.45,2:00.03,2,9.23,1:59.89,7,11.40,2:26.92,6,9.98,2:01.09,5,9.31,2:00.37,4,9.27,2:00.04,1,9.43,1:59.82
5,9.67,2:09.70,1,9.36,2:09.25,7,11.15,2:38.07,6,10.76,2:11.85,4,9.27,2:09.64,3,9.47,2:09.51,2,9.53,2:09.35
5,9.53,2:19.23,2,9.58,2:18.83,7,11.30,2:49.37,6,11.31,2:23.16,1,9.18,2:18.82,4,9.53,2:19.04,3,9.55,2:18.90
4,9.80,2:29.027,0,,PEN,6,11.87,3:01.233,5,12.36,2:35.512,1,9.22,2:28.040,3,9.66,2:28.692,2,9.68,2:28.573
