Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,KAMINAGA Shione POSITION,KAMINAGA Shione LAP TIME,KAMINAGA Shione ELAPSED TIME,Marijn WIERSMA POSITION,Marijn WIERSMA LAP TIME,Marijn WIERSMA ELAPSED TIME,KIM Ji Yoo POSITION,KIM Ji Yoo LAP TIME,KIM Ji Yoo ELAPSED TIME,Gabriella HACHEM POSITION,Gabriella HACHEM LAP TIME,Gabriella HACHEM ELAPSED TIME
4,15.54,,2,15.24,15.24,1,15.11,15.11,3,15.43,15.43,5,15.67,15.67
4,12.17,,2,12.19,27.43,1,12.28,27.39,3,12.17,27.60,5,12.20,27.87
5,12.08,,1,12.02,39.45,2,12.14,39.53,3,12.03,39.63,4,11.87,39.74
5,10.43,,3,10.58,50.03,4,10.58,50.11,1,10.15,49.78,2,10.15,49.89
5,10.01,,3,9.93,59.96,4,10.02,1:00.13,1,9.98,59.76,2,9.97,59.86
5,9.69,,3,9.78,1:09.74,4,9.72,1:09.85,1,9.74,1:09.50,2,9.78,1:09.64
5,9.41,,3,9.45,1:19.19,4,9.39,1:19.24,1,9.46,1:18.96,2,9.44,1:19.08
2,9.43,,3,9.60,1:28.79,4,9.56,1:28.80,1,9.46,1:28.42,5,9.86,1:28.94
2,9.40,,4,10.07,1:38.86,3,9.78,1:38.58,1,9.58,1:38.00,5,10.53,1:39.47
