MENG Xiaoxue POSITION,MENG Xiaoxue LAP TIME,MENG Xiaoxue ELAPSED TIME,Tania VICENT POSITION,Tania VICENT LAP TIME,Tania VICENT ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Yuka KAMINO POSITION,Yuka KAMINO LAP TIME,Yuka KAMINO ELAPSED TIME,Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME
4,10.049,10.049,3,9.904,9.904,0,,,1,9.516,9.516,2,9.578,9.578
5,13.445,23.493,4,13.460,23.364,3,,23.300,2,13.437,22.953,1,13.353,22.931
5,13.199,36.693,1,12.820,36.184,4,13.267,36.567,3,13.367,36.321,2,13.301,36.232
5,12.583,49.275,4,12.847,49.031,1,12.190,48.757,3,12.525,48.846,2,12.606,48.838
5,11.537,1:00.812,4,11.354,1:00.385,1,11.487,1:00.244,3,11.497,1:00.343,2,11.438,1:00.276
5,10.914,1:11.726,3,11.087,1:11.471,4,11.246,1:11.489,1,10.900,1:11.243,2,11.042,1:11.318
5,10.467,1:22.193,1,10.177,1:21.648,4,10.563,1:22.052,2,10.510,1:21.752,3,10.593,1:21.911
5,10.296,1:32.490,2,10.470,1:32.118,4,10.259,1:32.311,1,10.230,1:31.983,3,10.381,1:32.292
5,9.948,1:42.437,2,9.828,1:41.945,4,10.050,1:42.360,3,10.017,1:42.000,1,9.639,1:41.931
5,9.723,1:52.160,1,9.716,1:51.662,4,9.692,1:52.053,3,9.897,1:51.897,2,9.867,1:51.798
5,9.825,2:01.985,2,10.011,2:01.673,4,9.875,2:01.928,3,9.840,2:01.736,1,9.669,2:01.467
4,9.867,2:11.853,1,9.921,2:11.594,5,10.135,2:12.062,3,9.949,2:11.685,2,10.159,2:11.625
2,9.680,2:21.532,4,10.294,2:21.888,5,10.477,2:22.540,3,10.049,2:21.734,1,9.889,2:21.514
2,10.268,2:31.801,3,10.216,2:32.104,5,11.474,2:34.013,4,10.581,2:32.315,1,10.130,2:31.644
