Anna SAMARINA POSITION,Anna SAMARINA LAP TIME,Anna SAMARINA ELAPSED TIME,ZHAO Nannan POSITION,ZHAO Nannan LAP TIME,ZHAO Nannan ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Josephine MESCHNIK POSITION,Josephine MESCHNIK LAP TIME,Josephine MESCHNIK ELAPSED TIME
3,7.88,7.88,1,7.21,7.21,2,7.47,7.47,4,8.05,8.05
3,10.56,18.44,1,9.56,16.77,2,9.55,17.02,4,10.69,18.74
3,9.99,28.43,1,9.15,25.92,2,9.08,26.10,4,9.72,28.46
4,10.14,38.57,1,9.17,35.09,2,9.18,35.28,3,9.51,37.97
4,10.75,49.316,1,9.49,44.575,2,9.66,44.939,3,10.10,48.062
