Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME,VALCEPINA Arianna POSITION,VALCEPINA Arianna LAP TIME,VALCEPINA Arianna ELAPSED TIME
2,13.30,13.30,4,13.66,13.66,1,13.13,13.13,3,13.41,13.41
2,9.93,23.23,4,9.88,23.54,1,9.95,23.08,3,9.94,23.35
2,9.93,33.16,4,9.85,33.39,1,9.92,33.00,3,9.92,33.27
2,9.97,43.13,4,9.97,43.36,1,9.95,42.95,3,9.96,43.23
2,9.89,53.02,4,9.90,53.26,1,9.90,52.85,3,9.92,53.15
2,9.77,1:02.79,4,9.71,1:02.97,1,9.82,1:02.67,3,9.77,1:02.92
1,9.51,1:12.30,3,9.51,1:12.48,2,9.79,1:12.46,4,9.68,1:12.60
1,9.64,1:21.94,3,9.70,1:22.18,2,9.67,1:22.13,4,9.66,1:22.26
1,9.59,1:31.530,2,9.37,1:31.542,3,9.76,1:31.887,4,9.80,1:32.054
