Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME,Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME
1,6.970,6.970,3,7.370,7.370,4,7.600,7.600,2,7.230,7.230
3,9.480,16.450,2,9.060,16.430,1,8.650,16.250,4,9.210,16.450
3,8.830,25.280,2,8.750,25.180,1,8.720,24.970,4,8.910,25.360
3,9.020,34.300,2,9.040,34.220,1,9.200,34.180,4,9.060,34.420
3,9.220,43.520,2,9.260,43.490,1,9.260,43.440,4,9.300,43.730
