Ekaterina STRELKOVA POSITION,Ekaterina STRELKOVA LAP TIME,Ekaterina STRELKOVA ELAPSED TIME,Tatiana BODOVA POSITION,Tatiana BODOVA LAP TIME,Tatiana BODOVA ELAPSED TIME,WANG Xinyue POSITION,WANG Xinyue LAP TIME,WANG Xinyue ELAPSED TIME,Rozsa DARAZS POSITION,Rozsa DARAZS LAP TIME,Rozsa DARAZS ELAPSED TIME
2,13.77,13.77,1,13.64,13.64,3,13.90,13.90,4,14.02,14.02
2,10.74,24.51,1,10.77,24.41,3,10.69,24.59,4,10.71,24.73
3,10.80,35.31,2,10.79,35.20,1,10.43,35.02,4,10.67,35.40
4,10.40,45.71,2,10.31,45.51,1,10.36,45.38,3,10.25,45.65
3,10.04,55.75,2,10.11,55.62,1,10.14,55.52,4,10.15,55.80
3,10.36,1:06.11,2,10.39,1:06.01,1,10.37,1:05.89,4,10.39,1:06.19
2,10.68,1:16.79,4,23.57,1:29.58,1,10.60,1:16.49,3,10.63,1:16.82
2,10.38,1:27.17,4,16.92,1:46.50,1,10.55,1:27.04,3,10.42,1:27.24
0,,PEN,3,14.05,2:00.547,1,10.40,1:37.434,2,10.37,1:37.601
