KIM Joon Chun POSITION,KIM Joon Chun LAP TIME,KIM Joon Chun ELAPSED TIME,Satoshi SAKASHITA POSITION,Satoshi SAKASHITA LAP TIME,Satoshi SAKASHITA ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,KAUFMANN-LUDWIG Leon POSITION,KAUFMANN-LUDWIG Leon LAP TIME,KAUFMANN-LUDWIG Leon ELAPSED TIME,Burak AKAR POSITION,Burak AKAR LAP TIME,Burak AKAR ELAPSED TIME
1,6.90,,2,7.02,7.02,3,7.14,7.14,4,7.30,7.30,5,7.72,7.72
1,8.99,,2,8.97,15.99,3,8.96,16.10,4,8.96,16.26,5,9.68,17.40
3,8.66,,1,8.43,24.42,2,8.44,24.54,4,8.59,24.85,5,9.29,26.69
3,8.78,,1,8.73,33.15,2,8.68,33.22,4,8.66,33.51,5,9.57,36.26
4,9.74,,0,9.07,42.22,0,9.02,42.24,3,8.82,42.33,5,9.73,45.99
