Christiaan BOKKERINK POSITION,Christiaan BOKKERINK LAP TIME,Christiaan BOKKERINK ELAPSED TIME,Thibault CROLET POSITION,Thibault CROLET LAP TIME,Thibault CROLET ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,Christoph MILZ POSITION,Christoph MILZ LAP TIME,Christoph MILZ ELAPSED TIME
2,14.14,14.14,3,14.33,14.33,1,13.89,13.89,4,14.44,14.44
2,9.99,24.13,3,9.93,24.26,1,10.16,24.05,4,9.97,24.41
2,10.02,34.15,3,10.00,34.26,1,10.01,34.06,4,10.01,34.42
2,10.00,44.15,3,10.00,44.26,1,10.02,44.08,4,9.98,44.40
2,9.97,54.12,3,9.99,54.25,1,9.93,54.01,4,10.02,54.42
2,9.23,1:03.35,3,9.26,1:03.51,1,9.32,1:03.33,4,9.34,1:03.76
1,9.22,1:12.57,2,9.15,1:12.66,3,9.58,1:12.91,4,9.34,1:13.10
2,8.98,1:21.55,1,8.88,1:21.54,3,9.13,1:22.04,4,9.48,1:22.58
2,9.09,1:30.637,1,8.99,1:30.527,3,9.40,1:31.439,4,9.93,1:32.503
