Kim BOUTIN POSITION,Kim BOUTIN LAP TIME,Kim BOUTIN ELAPSED TIME,BINEY Maame POSITION,BINEY Maame LAP TIME,BINEY Maame ELAPSED TIME,KIKUCHI Yuki POSITION,KIKUCHI Yuki LAP TIME,KIKUCHI Yuki ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME
1,7.08,7.08,2,7.25,7.25,4,7.63,7.63,3,7.38,7.38,5,7.74,7.74
1,9.39,16.47,2,9.32,16.57,4,9.49,17.12,3,9.30,16.68,4,9.38,17.12
1,8.90,25.37,2,8.82,25.39,4,9.04,26.16,3,8.87,25.55,5,9.12,26.24
3,9.47,34.84,1,9.22,34.61,5,9.40,35.56,2,9.17,34.72,4,9.21,35.45
3,9.40,44.24,1,9.31,43.92,5,9.63,45.196,2,9.27,43.99,4,9.48,44.936
