Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,Tsvetan TSANKOV POSITION,Tsvetan TSANKOV LAP TIME,Tsvetan TSANKOV ELAPSED TIME,Aliaksandr ARLOU POSITION,Aliaksandr ARLOU LAP TIME,Aliaksandr ARLOU ELAPSED TIME,Liam O'BRIEN POSITION,Liam O'BRIEN LAP TIME,Liam O'BRIEN ELAPSED TIME,Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME,MA Xingguang POSITION,MA Xingguang LAP TIME,MA Xingguang ELAPSED TIME
4,9.82,9.82,3,9.72,9.72,2,9.57,9.57,5,9.86,9.86,1,9.40,9.40,7,10.20,10.20,6,10.04,10.04
4,13.17,22.99,3,13.14,22.86,2,13.16,22.73,5,13.25,23.11,1,13.16,22.56,7,13.16,23.36,6,13.18,23.22
5,12.84,35.83,3,12.88,35.74,2,12.87,35.60,4,12.66,35.77,1,12.92,35.48,7,12.82,36.18,6,12.81,36.03
4,12.52,48.35,2,12.52,48.26,3,12.67,48.27,5,12.63,48.40,1,12.65,48.13,7,12.61,48.79,6,12.60,48.63
3,11.11,59.46,1,11.06,59.32,4,11.22,59.49,5,11.21,59.61,2,11.27,59.40,7,11.11,59.90,6,11.14,59.77
2,10.84,1:10.30,1,10.91,1:10.23,4,11.00,1:10.49,5,10.90,1:10.51,3,10.93,1:10.33,7,10.96,1:10.86,6,10.97,1:10.74
2,10.44,1:20.74,1,10.40,1:20.63,5,10.62,1:21.11,4,10.46,1:20.97,3,10.51,1:20.84,7,10.49,1:21.35,6,10.50,1:21.24
3,10.08,1:30.82,1,10.02,1:30.65,5,9.96,1:31.07,4,10.00,1:30.97,2,9.93,1:30.77,7,9.94,1:31.29,6,9.93,1:31.17
2,9.24,1:40.06,1,9.33,1:39.98,5,9.36,1:40.43,4,9.32,1:40.29,3,9.40,1:40.17,6,9.25,1:40.54,7,9.49,1:40.66
2,9.12,1:49.18,1,9.18,1:49.16,7,9.38,1:49.81,4,9.18,1:49.47,3,9.20,1:49.37,5,9.02,1:49.56,6,9.00,1:49.66
1,8.98,1:58.16,2,9.08,1:58.24,7,9.12,1:58.93,5,9.28,1:58.75,3,9.10,1:58.47,4,9.00,1:58.56,6,9.11,1:58.77
1,9.05,2:07.21,2,9.04,2:07.28,7,9.16,2:08.09,6,9.25,2:08.00,5,9.25,2:07.72,3,8.95,2:07.51,4,8.90,2:07.67
1,9.14,2:16.35,2,9.21,2:16.49,6,9.32,2:17.41,7,9.59,2:17.59,5,9.58,2:17.30,2,8.98,2:16.49,4,8.94,2:16.61
1,9.30,2:25.628,3,9.34,2:25.806,5,9.69,2:27.072,7,23.86,2:41.427,6,9.93,2:27.210,2,9.25,2:25.716,4,9.35,2:25.941
