ZANG Yize POSITION,ZANG Yize LAP TIME,ZANG Yize ELAPSED TIME,Kasandra BRADETTE POSITION,Kasandra BRADETTE LAP TIME,Kasandra BRADETTE ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME
2,7.45,7.45,1,7.27,7.27,5,7.72,7.72,3,7.59,7.59,4,7.71,7.71
2,9.35,16.80,1,9.44,16.71,5,9.31,17.03,3,9.24,16.83,4,9.30,17.01
2,8.88,25.68,1,8.85,25.56,5,9.05,26.08,3,9.02,25.85,4,8.98,25.99
1,8.92,34.60,2,9.15,34.71,5,9.01,35.09,3,8.97,34.82,4,9.01,35.00
1,9.13,43.73,0,9.44,44.15,4,9.11,44.208,5,33.54,1:08.361,0,9.17,44.17
