DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Daniel ZETZSCHE POSITION,Daniel ZETZSCHE LAP TIME,Daniel ZETZSCHE ELAPSED TIME,Mykyta SOKOLOV POSITION,Mykyta SOKOLOV LAP TIME,Mykyta SOKOLOV ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME
2,13.13,13.13,3,13.19,13.19,4,13.41,13.41,1,13.11,13.11
1,10.03,23.16,3,10.14,23.33,4,10.01,23.42,2,10.13,23.24
1,10.28,33.44,3,10.30,33.63,4,10.34,33.76,2,10.30,33.54
1,9.99,43.43,2,9.82,43.45,4,9.88,43.64,3,9.99,43.53
1,9.34,52.77,2,9.33,52.78,4,9.54,53.18,3,9.45,52.98
1,9.13,1:01.90,3,9.32,1:02.10,4,20.73,1:13.91,2,9.03,1:02.01
1,9.09,1:10.99,3,9.18,1:11.28,4,15.51,1:29.42,2,9.05,1:11.06
2,9.04,1:20.03,3,9.13,1:20.41,4,11.62,1:41.04,1,8.89,1:19.95
2,9.03,1:29.058,3,9.23,1:29.634,4,11.15,1:52.183,1,9.01,1:28.956
