LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Cole William Isaac KRUEGER POSITION,Cole William Isaac KRUEGER LAP TIME,Cole William Isaac KRUEGER ELAPSED TIME,BLUNDEN Keanu POSITION,BLUNDEN Keanu LAP TIME,BLUNDEN Keanu ELAPSED TIME,DION Pascal POSITION,DION Pascal LAP TIME,DION Pascal ELAPSED TIME,Nicolas LABORDE POSITION,Nicolas LABORDE LAP TIME,Nicolas LABORDE ELAPSED TIME,Metehan ATAN POSITION,Metehan ATAN LAP TIME,Metehan ATAN ELAPSED TIME
4,8.48,8.48,3,8.43,8.43,6,8.75,8.75,1,8.20,,5,8.59,8.59,2,8.32,8.32
4,11.85,20.33,3,11.82,20.25,6,11.83,20.58,1,11.83,,5,11.86,20.45,2,11.80,20.12
4,11.36,31.69,3,11.31,31.56,5,11.25,31.83,1,11.35,,6,11.50,31.95,2,11.34,31.46
5,10.95,42.64,1,10.81,42.37,6,10.91,42.74,2,11.02,,3,10.48,42.43,4,11.00,42.46
5,10.28,52.92,1,10.19,52.56,6,10.29,53.03,3,10.35,,2,10.21,52.64,4,10.39,52.85
1,10.05,1:02.97,2,10.52,1:03.08,3,10.09,1:03.12,5,10.51,,4,10.54,1:03.18,6,10.53,1:03.38
1,9.85,1:12.82,2,9.85,1:12.93,5,10.17,1:13.29,4,9.92,,3,9.86,1:13.04,6,9.99,1:13.37
2,9.95,1:22.77,1,9.69,1:22.62,5,9.84,1:23.13,4,9.83,,3,9.88,1:22.92,6,9.85,1:23.22
1,9.74,1:32.51,2,9.91,1:32.53,6,9.75,1:32.88,4,9.72,,3,9.74,1:32.66,5,9.58,1:32.80
1,9.17,1:41.68,2,9.26,1:41.79,6,9.50,1:42.38,3,9.27,,4,9.38,1:42.04,5,9.39,1:42.19
2,9.09,1:50.77,1,8.92,1:50.71,5,9.10,1:51.48,3,8.81,,6,9.49,1:51.53,4,9.10,1:51.29
2,9.18,1:59.95,1,9.19,1:59.90,5,9.24,2:00.72,3,9.24,,6,9.70,2:01.23,4,9.30,2:00.59
2,9.29,2:09.24,1,9.16,2:09.06,4,9.28,2:10.00,3,9.28,,6,9.97,2:11.20,5,9.67,2:10.26
4,20.20,2:29.44,6,25.58,2:34.64,1,9.41,2:19.41,5,20.59,,3,10.41,2:21.61,2,10.10,2:20.36
