Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Marie-Eve DROLET POSITION,Marie-Eve DROLET LAP TIME,Marie-Eve DROLET ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME
2,7.36,7.36,1,7.18,7.18,3,7.44,7.44,4,7.68,7.68
4,32.38,39.74,1,9.45,16.63,2,9.53,16.97,3,9.55,17.23
4,13.91,53.65,1,9.02,25.65,2,8.99,25.96,3,9.02,26.25
4,11.14,1:04.79,1,9.24,34.89,2,9.26,35.22,3,9.10,35.35
4,10.31,1:15.091,1,9.56,44.441,2,9.31,44.523,3,9.25,44.598
