Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME,Elena KAPLAN POSITION,Elena KAPLAN LAP TIME,Elena KAPLAN ELAPSED TIME,Mary GRACE POSITION,Mary GRACE LAP TIME,Mary GRACE ELAPSED TIME,Amanda OVERLAND POSITION,Amanda OVERLAND LAP TIME,Amanda OVERLAND ELAPSED TIME,Karolina REGUCKA POSITION,Karolina REGUCKA LAP TIME,Karolina REGUCKA ELAPSED TIME,Anouk ZOUTENDIJK POSITION,Anouk ZOUTENDIJK LAP TIME,Anouk ZOUTENDIJK ELAPSED TIME
4,9.350,9.350,5,9.640,9.640,1,9.100,9.100,3,9.350,9.350,2,9.340,9.340,3,9.690,9.690
4,12.500,21.860,5,12.230,21.870,1,12.250,21.360,2,12.050,21.400,3,12.180,21.520,2,14.310,24.010
4,10.880,32.750,5,11.080,32.960,1,11.150,32.520,2,11.130,32.540,3,11.090,32.620,2,13.800,37.810
4,11.380,44.130,5,11.320,44.280,2,11.420,43.950,1,11.400,43.940,3,11.390,44.010,2,14.210,52.020
4,11.580,55.710,5,11.670,55.960,1,11.660,55.610,2,11.670,55.620,3,11.690,55.710,2,13.870,1:05.890
4,11.550,1:07.270,5,11.360,1:07.320,2,11.370,1:06.990,1,11.340,1:06.960,3,11.440,1:07.150,4,11.400,1:17.300
4,11.270,1:18.540,5,11.430,1:18.760,2,11.460,1:18.450,1,11.380,1:18.350,3,11.330,1:18.480,3,10.700,1:28.000
4,11.610,1:30.160,5,11.550,1:30.310,1,11.490,1:29.940,2,11.600,1:29.960,3,11.480,1:29.970,4,11.340,1:39.350
2,11.150,1:41.320,5,11.380,1:41.700,1,11.300,1:41.240,3,11.360,1:41.320,4,11.410,1:41.390,4,11.260,1:50.620
1,10.340,1:51.660,4,10.580,1:52.280,2,10.740,1:51.990,3,10.720,1:52.050,5,10.960,1:52.350,4,10.630,2:01.250
1,10.420,2:02.080,4,10.450,2:02.730,2,10.360,2:02.350,3,10.320,2:02.370,5,10.630,2:02.980,4,10.160,2:11.420
1,10.540,2:12.630,4,10.520,2:13.250,2,10.590,2:12.940,3,10.670,2:13.050,5,10.810,2:13.790,5,10.380,2:21.800
1,10.490,2:23.120,4,10.750,2:24.010,2,10.940,2:23.890,3,10.950,2:24.010,5,11.290,2:25.080,5,10.800,2:32.610
1,11.150,2:34.270,4,11.520,2:35.540,2,11.280,2:35.180,3,11.260,2:35.270,5,11.660,2:36.750,5,10.950,2:43.560
