Andre PULEC POSITION,Andre PULEC LAP TIME,Andre PULEC ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Tamas TUTRAI POSITION,Tamas TUTRAI LAP TIME,Tamas TUTRAI ELAPSED TIME,Jeremy BECK POSITION,Jeremy BECK LAP TIME,Jeremy BECK ELAPSED TIME,Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME
0,8.117,8.117,0,12.396,12.396,0,8.319,8.319,0,11.176,11.176,0,8.576,8.576
0,10.756,18.873,0,12.496,24.892,0,10.550,18.868,0,13.553,24.729,0,10.462,19.038
0,10.649,29.522,0,9.903,34.795,0,10.709,29.577,0,9.833,34.562,0,10.538,29.575
0,10.757,40.279,0,9.709,44.504,0,10.630,40.208,0,9.855,44.416,0,10.858,40.433
0,10.675,50.954,0,9.822,54.325,0,10.614,50.821,0,9.786,54.203,0,10.700,51.133
0,10.554,1:01.508,0,9.954,1:04.279,0,10.552,1:01.373,0,9.925,1:04.127,0,10.493,1:01.626
0,10.528,1:12.036,0,9.929,1:14.208,0,10.670,1:12.043,0,9.935,1:14.062,0,10.577,1:12.203
0,10.501,1:22.537,0,10.148,1:24.356,0,10.459,1:22.503,0,10.114,1:24.176,0,10.482,1:22.684
0,10.205,1:32.742,0,10.258,1:34.613,0,10.198,1:32.701,0,10.201,1:34.377,0,10.298,1:32.982
0,10.088,1:42.829,0,10.463,1:45.076,0,10.103,1:42.804,0,10.470,1:44.847,0,10.048,1:43.031
0,10.130,1:52.959,0,10.743,1:55.819,0,10.120,1:52.924,0,10.768,1:55.616,0,9.960,1:52.991
0,10.046,2:03.006,0,10.970,2:06.789,0,10.064,2:02.988,0,11.158,2:06.773,0,9.681,2:02.672
0,10.038,2:13.044,0,10.940,2:17.730,0,10.298,2:13.286,0,10.975,2:17.748,0,9.899,2:12.571
0,10.311,2:23.355,0,10.999,2:28.728,0,10.360,2:23.646,0,12.580,2:30.328,0,10.310,2:22.881
