Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Dariusz KULESZA POSITION,Dariusz KULESZA LAP TIME,Dariusz KULESZA ELAPSED TIME
2,7.13,7.13,4,7.29,7.29,3,7.26,7.26,1,7.04,7.04
2,9.31,16.44,4,9.42,16.71,3,9.32,16.58,1,9.35,16.39
1,8.69,25.13,3,8.74,25.45,2,8.82,25.40,4,9.77,26.16
1,8.79,33.92,3,8.83,34.28,2,8.76,34.16,4,9.13,35.29
0,,DQ,0,,DQ,1,9.23,43.381,2,9.32,44.604
