Tina GRASSOW POSITION,Tina GRASSOW LAP TIME,Tina GRASSOW ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME,Xeniya MOTOVA POSITION,Xeniya MOTOVA LAP TIME,Xeniya MOTOVA ELAPSED TIME
1,13.48,13.48,2,13.58,13.58,3,13.73,13.73
1,10.05,23.53,2,10.06,23.64,3,10.03,23.76
1,9.67,33.20,2,9.65,33.29,3,9.65,33.41
1,9.56,42.76,2,9.54,42.83,3,9.56,42.97
1,9.79,52.55,2,9.79,52.62,3,9.83,52.80
1,10.11,1:02.66,2,10.13,1:02.75,3,10.05,1:02.85
2,10.40,1:13.06,1,9.88,1:12.63,3,10.34,1:13.19
2,10.39,1:23.45,1,9.82,1:22.45,3,10.34,1:23.53
2,10.75,1:34.199,1,10.43,1:32.872,3,29.14,1:52.662
