Tunde BALAZS POSITION,Tunde BALAZS LAP TIME,Tunde BALAZS ELAPSED TIME,CHUNG_FALSCH Hsiao-Ying POSITION,CHUNG_FALSCH Hsiao-Ying LAP TIME,CHUNG_FALSCH Hsiao-Ying ELAPSED TIME,Deanna SEE POSITION,Deanna SEE LAP TIME,Deanna SEE ELAPSED TIME,van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME,HWANG Hyun Sun POSITION,HWANG Hyun Sun LAP TIME,HWANG Hyun Sun ELAPSED TIME
1,14.37,14.37,3,14.73,14.73,5,17.72,17.72,2,14.51,14.51,4,14.88,14.88
1,10.61,24.98,4,10.62,25.35,5,14.59,32.31,2,10.59,25.10,3,10.31,25.19
1,10.66,35.64,4,10.73,36.08,5,15.71,48.02,2,10.65,35.75,3,10.75,35.94
1,10.75,46.39,4,10.70,46.78,5,16.12,1:04.14,2,10.75,46.50,3,10.74,46.68
1,10.85,57.24,4,10.92,57.70,5,17.49,1:21.63,2,10.87,57.37,3,10.88,57.56
1,10.49,1:07.73,4,10.42,1:08.12,5,18.24,1:39.87,2,10.49,1:07.86,3,10.44,1:08.00
2,10.45,1:18.18,4,10.26,1:18.38,5,17.44,1:57.31,3,10.45,1:18.31,1,9.84,1:17.84
3,10.78,1:28.96,4,18.82,1:37.20,5,18.69,2:16.00,2,10.23,1:28.54,1,9.57,1:27.41
3,11.09,1:40.047,4,18.66,1:55.860,0,,notime,2,10.45,1:38.988,1,9.72,1:37.129
