Ivan DOLINIC POSITION,Ivan DOLINIC LAP TIME,Ivan DOLINIC ELAPSED TIME,Adam FILIPOWICZ POSITION,Adam FILIPOWICZ LAP TIME,Adam FILIPOWICZ ELAPSED TIME,Gabor GALAMBOS POSITION,Gabor GALAMBOS LAP TIME,Gabor GALAMBOS ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME
1,6.83,6.83,2,6.91,6.91,3,7.02,7.02,4,7.09,7.09
3,9.52,16.35,2,9.31,16.22,1,8.98,16.00,4,9.28,16.37
4,9.45,25.80,2,8.58,24.80,1,8.63,24.63,3,8.51,24.88
4,9.54,35.34,2,8.50,33.30,1,8.61,33.24,3,8.44,33.32
3,10.01,45.348,4,22.07,55.366,2,9.23,42.461,1,8.95,42.264
