Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME,Guillaume BLAIS DUFOUR POSITION,Guillaume BLAIS DUFOUR LAP TIME,Guillaume BLAIS DUFOUR ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
3,13.53,13.53,2,13.37,13.37,4,13.60,13.60,1,13.25,13.25
3,10.20,23.73,4,10.45,23.82,2,10.11,23.71,1,10.37,23.62
2,9.73,33.46,4,9.78,33.60,1,9.66,33.37,3,9.92,33.54
2,9.86,43.32,4,9.92,43.52,1,9.85,43.22,3,9.90,43.44
1,9.36,52.68,4,9.48,53.00,2,9.56,52.78,3,9.47,52.91
1,9.45,1:02.13,4,9.47,1:02.47,2,9.48,1:02.26,3,9.46,1:02.37
1,9.16,1:11.29,4,9.15,1:11.62,2,9.14,1:11.40,3,9.14,1:11.51
1,8.96,1:20.25,3,8.83,1:20.45,2,8.99,1:20.39,4,8.99,1:20.50
2,9.48,1:29.727,4,9.69,1:30.135,1,9.34,1:29.723,3,9.30,1:29.797
