Annita van DOORN POSITION,Annita van DOORN LAP TIME,Annita van DOORN ELAPSED TIME,Alex STANLEY POSITION,Alex STANLEY LAP TIME,Alex STANLEY ELAPSED TIME,Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Ekaterina BARANOK POSITION,Ekaterina BARANOK LAP TIME,Ekaterina BARANOK ELAPSED TIME
2,12.98,12.98,3,13.08,13.08,1,12.84,12.84,4,13.19,13.19,5,13.58,13.58
3,10.33,23.31,2,10.13,23.21,1,10.28,23.12,4,10.20,23.39,5,9.96,23.54
2,10.02,33.33,4,10.20,33.41,1,10.10,33.22,3,10.00,33.39,5,10.04,33.58
2,10.14,43.47,4,10.29,43.70,1,10.15,43.37,3,10.16,43.55,5,10.23,43.81
3,9.90,53.37,4,9.76,53.46,1,9.79,53.16,2,9.68,53.23,5,9.76,53.57
3,9.72,1:03.09,4,9.87,1:03.33,1,9.84,1:03.00,2,9.83,1:03.06,5,9.94,1:03.51
5,11.02,1:14.11,3,9.91,1:13.24,1,9.81,1:12.81,2,9.86,1:12.92,4,10.24,1:13.75
5,11.21,1:25.32,3,10.20,1:23.44,1,10.01,1:22.82,2,9.94,1:22.86,4,10.63,1:24.38
5,12.27,1:37.590,3,10.68,1:34.116,2,10.61,1:33.421,1,10.26,1:33.114,4,11.08,1:35.455
