Jason CLAGUE POSITION,Jason CLAGUE LAP TIME,Jason CLAGUE ELAPSED TIME,de Vin WONG POSITION,de Vin WONG LAP TIME,de Vin WONG ELAPSED TIME,TAI Jing-Jhe POSITION,TAI Jing-Jhe LAP TIME,TAI Jing-Jhe ELAPSED TIME,Leonardo PALLA POSITION,Leonardo PALLA LAP TIME,Leonardo PALLA ELAPSED TIME
3,16.37,16.37,1,16.07,16.07,2,16.22,16.22,4,16.48,16.48
4,13.19,29.56,1,13.24,29.31,2,13.24,29.46,3,13.01,29.49
2,12.08,41.64,1,12.18,41.49,3,12.18,41.64,4,12.25,41.74
2,10.72,52.36,1,10.85,52.34,4,10.91,52.55,3,10.76,52.50
1,9.60,1:01.96,3,10.18,1:02.52,4,10.09,1:02.64,2,9.72,1:02.22
1,9.48,1:11.44,3,9.80,1:12.32,4,9.75,1:12.39,2,9.33,1:11.55
1,9.50,1:20.94,4,10.39,1:22.71,3,10.05,1:22.44,2,9.48,1:21.03
1,9.64,1:30.58,4,10.22,1:32.93,3,10.40,1:32.84,2,9.67,1:30.70
1,9.85,1:40.425,4,10.58,1:43.503,3,10.60,1:43.440,2,9.85,1:40.547
