Volodymyr CHERNEGA POSITION,Volodymyr CHERNEGA LAP TIME,Volodymyr CHERNEGA ELAPSED TIME,GUO Wei POSITION,GUO Wei LAP TIME,GUO Wei ELAPSED TIME,SONG Suk-Woo POSITION,SONG Suk-Woo LAP TIME,SONG Suk-Woo ELAPSED TIME,Mark JACKSON POSITION,Mark JACKSON LAP TIME,Mark JACKSON ELAPSED TIME,Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME
2,8.285,8.285,3,8.291,8.291,6,8.850,8.850,1,7.946,7.946,4,8.313,8.313,5,8.509,8.509
3,10.658,18.943,5,10.918,19.209,6,10.497,19.347,1,10.779,18.724,2,10.443,18.756,4,10.522,19.030
6,10.854,29.797,3,10.357,29.565,1,9.961,29.307,4,10.994,29.718,2,10.722,29.477,5,10.708,29.738
6,10.623,40.419,2,10.508,40.073,1,10.752,40.059,4,10.591,40.309,3,10.642,40.119,5,10.620,40.357
6,11.380,51.798,1,11.153,51.226,2,11.348,51.406,3,11.191,51.499,4,11.383,51.501,5,11.383,51.740
5,10.719,1:02.517,1,10.814,1:02.039,2,10.854,1:02.260,3,10.811,1:02.310,4,10.943,1:02.444,6,10.863,1:02.602
4,11.102,1:13.618,2,11.176,1:13.214,3,11.256,1:13.515,5,11.352,1:13.661,1,10.747,1:13.191,6,11.202,1:13.804
5,10.835,1:24.453,1,10.686,1:23.900,2,10.516,1:24.031,4,10.575,1:24.235,3,10.864,1:24.054,6,10.661,1:24.464
6,10.104,1:34.557,2,10.210,1:34.109,1,10.013,1:34.043,5,10.136,1:34.371,3,10.132,1:34.186,4,9.905,1:34.369
6,10.036,1:44.592,1,9.815,1:43.923,2,9.903,1:43.945,4,9.883,1:44.254,3,9.942,1:44.128,5,10.121,1:44.489
6,10.090,1:54.681,1,9.742,1:53.665,2,9.829,1:53.774,4,9.902,1:54.156,3,9.778,1:53.905,5,9.864,1:54.353
6,10.477,2:05.158,2,9.870,2:03.534,1,9.651,2:03.425,4,10.013,2:04.168,3,9.762,2:03.667,5,9.977,2:04.329
6,11.345,2:16.503,2,9.822,2:13.355,1,9.843,2:13.267,4,10.465,2:14.632,3,9.836,2:13.503,5,10.433,2:14.762
6,12.12,2:28.616,2,10.03,2:23.380,1,10.02,2:23.278,5,10.82,2:25.450,3,10.06,2:23.559,4,10.58,2:25.335
