Kimberly DERRICK POSITION,Kimberly DERRICK LAP TIME,Kimberly DERRICK ELAPSED TIME,YANG Shin-Young POSITION,YANG Shin-Young LAP TIME,YANG Shin-Young ELAPSED TIME,LIU Qiuhong POSITION,LIU Qiuhong LAP TIME,LIU Qiuhong ELAPSED TIME,Jessica GREGG POSITION,Jessica GREGG LAP TIME,Jessica GREGG ELAPSED TIME
4,13.12,13.12,2,12.95,12.95,1,12.89,12.89,3,13.07,13.07
3,9.67,22.79,1,9.58,22.54,2,9.87,22.76,4,10.01,23.08
3,9.91,32.71,2,10.05,32.60,1,9.77,32.54,4,9.81,32.89
2,9.90,42.62,3,10.07,42.67,1,10.00,42.54,4,9.97,42.86
2,9.89,52.51,1,9.78,52.46,3,9.97,52.51,4,9.85,52.72
2,9.72,1:02.23,1,9.62,1:02.08,3,9.74,1:02.26,4,9.76,1:02.49
2,9.74,1:11.97,1,9.80,1:11.89,3,9.71,1:11.98,4,9.77,1:12.27
3,9.74,1:21.72,1,9.76,1:21.65,2,9.71,1:21.69,4,9.74,1:22.01
1,9.98,1:31.692,3,10.23,1:31.880,2,10.05,1:31.732,4,10.19,1:32.192
