Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,Lavesh Karamchand VAIDYA POSITION,Lavesh Karamchand VAIDYA LAP TIME,Lavesh Karamchand VAIDYA ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME
1,14.19,14.19,3,14.51,14.51,4,15.95,15.95,2,14.35,14.35
1,10.52,24.71,3,10.45,24.96,4,12.43,28.38,2,10.49,24.84
1,10.39,35.10,3,10.33,35.29,4,12.64,41.02,2,10.36,35.20
1,10.09,45.19,3,10.12,45.41,4,13.42,54.44,2,10.10,45.30
1,9.79,54.98,3,9.78,55.19,4,14.16,1:08.60,2,9.78,55.08
2,9.82,1:04.80,3,9.72,1:04.91,4,14.43,1:23.03,1,9.61,1:04.69
3,9.43,1:14.23,1,9.06,1:13.97,4,13.69,1:36.72,2,9.38,1:14.07
3,8.99,1:23.22,2,9.12,1:23.09,4,13.60,1:50.32,1,9.02,1:23.09
3,9.34,1:32.557,2,9.13,1:32.216,4,13.80,2:04.115,1,9.04,1:32.129
