HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,PIVIROTTO Ryan POSITION,PIVIROTTO Ryan LAP TIME,PIVIROTTO Ryan ELAPSED TIME
2,12.85,12.85,3,12.91,12.91,1,12.74,12.74,4,13.12,13.12
1,9.38,22.23,3,9.50,22.41,2,9.57,22.31,4,9.47,22.59
1,9.42,31.65,3,9.39,31.80,2,9.42,31.73,4,9.35,31.94
1,9.35,41.00,3,9.34,41.14,2,9.30,41.03,4,9.35,41.29
2,9.09,50.09,3,9.02,50.16,1,8.96,49.99,4,9.05,50.34
2,8.90,58.99,3,8.91,59.07,1,8.87,58.86,4,8.97,59.31
2,8.94,1:07.93,3,8.90,1:07.97,1,8.97,1:07.83,4,8.93,1:08.24
2,8.98,1:16.91,3,9.02,1:16.99,1,8.90,1:16.73,4,8.94,1:17.18
3,9.03,1:25.933,2,8.93,1:25.918,1,8.97,1:25.700,4,8.94,1:26.116
