Evita KRIEVANE POSITION,Evita KRIEVANE LAP TIME,Evita KRIEVANE ELAPSED TIME,Kimberly DERRICK POSITION,Kimberly DERRICK LAP TIME,Kimberly DERRICK ELAPSED TIME,Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME,Sophia MILAN POSITION,Sophia MILAN LAP TIME,Sophia MILAN ELAPSED TIME,Anouk ZOUTENDIJK POSITION,Anouk ZOUTENDIJK LAP TIME,Anouk ZOUTENDIJK ELAPSED TIME,Olga MASKAIKINA POSITION,Olga MASKAIKINA LAP TIME,Olga MASKAIKINA ELAPSED TIME
0,9.012,9.012,0,9.272,9.272,0,9.259,9.259,0,9.317,9.317,0,8.252,8.252,0,9.673,9.673
0,12.246,21.258,0,12.275,21.548,0,12.485,21.744,0,12.245,21.562,0,12.657,20.909,0,11.808,21.481
0,10.622,31.880,0,10.393,31.941,0,10.369,32.113,0,10.544,32.106,0,10.416,31.325,0,10.726,32.207
0,10.338,42.218,0,10.481,42.422,0,10.481,42.594,0,10.455,42.561,0,10.566,41.891,0,10.301,42.507
0,10.110,52.328,0,10.100,52.522,0,10.073,52.667,0,10.177,52.738,0,9.268,51.160,0,10.203,52.710
0,10.456,1:02.784,0,10.376,1:02.898,0,10.434,1:03.101,0,10.342,1:03.080,0,10.912,1:02.071,0,10.358,1:03.068
0,10.794,1:13.578,0,10.842,1:13.740,0,10.663,1:13.764,0,10.752,1:13.832,0,10.725,1:12.796,0,10.787,1:13.855
0,10.548,1:24.125,0,10.320,1:24.060,0,10.664,1:24.428,0,10.450,1:24.282,0,10.557,1:23.353,0,10.467,1:24.322
0,10.176,1:34.301,0,10.028,1:34.088,0,10.622,1:35.049,0,10.531,1:34.813,0,10.211,1:33.564,0,10.720,1:35.042
0,10.301,1:44.602,0,10.069,1:44.158,0,10.477,1:45.527,0,10.470,1:45.283,0,10.126,1:43.690,0,10.810,1:45.852
0,10.578,1:55.180,0,10.183,1:54.341,0,,,0,10.610,1:55.893,0,35.449,2:19.140,0,11.088,1:56.940
0,10.948,2:06.128,0,10.521,2:04.861,0,,2:06.533,0,11.023,2:06.916,0,16.980,2:36.119,0,11.807,2:08.746
0,11.021,2:17.149,0,10.685,2:15.546,0,10.699,2:17.232,0,11.479,2:18.395,0,13.894,2:50.013,0,12.580,2:21.326
0,11.097,2:28.246,0,11.369,2:26.915,0,11.076,2:28.309,0,12.044,2:30.439,0,13.293,3:03.306,0,13.674,2:35.000
