IVLIEV Konstantin POSITION,IVLIEV Konstantin LAP TIME,IVLIEV Konstantin ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,DION Pascal POSITION,DION Pascal LAP TIME,DION Pascal ELAPSED TIME,DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME,REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME
1,6.71,6.71,2,6.82,6.82,3,6.83,6.83,4,7.03,7.03,5,7.17,7.17
1,8.71,15.42,2,8.73,15.55,3,8.84,15.67,4,8.74,15.77,5,8.76,15.93
2,8.27,23.69,1,8.13,23.68,3,8.18,23.85,4,8.16,23.93,5,8.17,24.10
2,8.41,32.10,1,8.29,31.97,3,8.26,32.11,4,8.26,32.19,5,8.27,32.37
0,8.66,40.76,1,8.60,40.57,5,9.04,41.151,0,8.56,40.75,4,8.65,41.02
