HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME
1,6.70,6.70,3,6.92,6.92,2,6.86,6.86,4,7.18,7.18
1,8.79,15.49,3,8.82,15.74,2,8.75,15.61,4,8.82,16.00
2,8.39,23.88,3,8.26,24.00,1,8.27,23.88,4,8.31,24.31
1,8.51,32.39,3,8.52,32.52,2,8.63,32.51,4,8.46,32.77
1,8.90,41.290,0,,PEN,3,24.82,57.322,2,8.78,41.548
