CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Raya ZAHARIEVA POSITION,Raya ZAHARIEVA LAP TIME,Raya ZAHARIEVA ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Alyson DUDEK POSITION,Alyson DUDEK LAP TIME,Alyson DUDEK ELAPSED TIME
1,9.28,9.28,4,9.50,9.50,3,9.39,9.39,5,9.65,9.65,2,9.29,9.29
2,12.39,21.67,4,12.39,21.89,3,12.40,21.79,5,12.39,22.04,1,12.23,21.52
2,11.31,32.98,4,11.31,33.20,3,11.31,33.10,5,11.28,33.32,1,11.32,32.84
2,11.29,44.27,4,11.32,44.52,3,11.31,44.41,5,11.32,44.64,1,11.29,44.13
2,11.11,55.38,5,11.03,55.55,3,11.06,55.47,4,10.90,55.54,1,11.10,55.23
1,10.36,1:05.74,5,10.75,1:06.30,3,10.48,1:05.95,4,10.60,1:06.14,2,10.60,1:05.83
1,10.66,1:16.40,5,10.56,1:16.86,3,10.67,1:16.62,4,10.59,1:16.73,2,10.69,1:16.52
1,10.64,1:27.04,5,10.67,1:27.53,3,10.63,1:27.25,4,10.69,1:27.42,2,10.63,1:27.15
1,10.62,1:37.66,5,10.63,1:38.16,3,10.65,1:37.90,4,10.60,1:38.02,2,10.63,1:37.78
1,10.34,1:48.00,5,10.66,1:48.82,3,10.34,1:48.24,4,10.33,1:48.35,2,10.33,1:48.11
1,10.09,1:58.09,5,11.14,1:59.96,3,10.12,1:58.36,4,10.11,1:58.46,2,10.12,1:58.23
1,9.66,2:07.75,5,11.65,2:11.61,3,9.89,2:08.25,4,9.90,2:08.36,2,9.84,2:08.07
1,9.77,2:17.52,5,11.90,2:23.51,3,10.17,2:18.42,4,10.07,2:18.43,2,10.20,2:18.27
1,10.24,2:27.759,3,12.30,2:35.810,0,,PEN,0,,PEN,2,10.61,2:28.871
