Andre PULEC POSITION,Andre PULEC LAP TIME,Andre PULEC ELAPSED TIME,Benjamin MACE POSITION,Benjamin MACE LAP TIME,Benjamin MACE ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME
1,7.13,7.13,3,7.27,7.27,2,7.15,7.15
1,9.35,16.48,3,9.47,16.74,2,9.44,16.59
1,9.01,25.49,3,8.93,25.67,2,9.02,25.61
2,9.29,34.78,3,9.24,34.91,1,9.02,34.63
3,9.15,43.923,2,9.00,43.905,1,8.95,43.571
