Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,Jose CAVALLI POSITION,Jose CAVALLI LAP TIME,Jose CAVALLI ELAPSED TIME
1,14.61,14.61,3,14.86,14.86,2,14.72,14.72,4,14.94,14.94
1,11.23,25.84,3,11.04,25.90,2,11.15,25.87,4,11.19,26.13
2,10.06,35.90,3,10.03,35.93,1,9.98,35.85,4,10.06,36.19
2,9.33,45.23,3,9.35,45.28,1,9.25,45.10,4,9.33,45.52
2,9.29,54.52,3,9.34,54.62,1,9.33,54.43,4,9.25,54.77
1,9.12,1:03.64,3,9.11,1:03.73,1,9.21,1:03.64,4,9.17,1:03.94
2,9.22,1:12.86,3,9.31,1:13.04,1,9.19,1:12.83,4,9.32,1:13.26
2,9.05,1:21.91,3,9.08,1:22.12,1,8.99,1:21.82,4,9.55,1:22.81
0,9.02,1:30.93,3,8.99,1:31.11,0,9.08,1:30.90,4,9.81,1:32.62
