ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,KAMINAGA Shione POSITION,KAMINAGA Shione LAP TIME,KAMINAGA Shione ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Selma POUTSMA POSITION,Selma POUTSMA LAP TIME,Selma POUTSMA ELAPSED TIME,Jerebelle YUTANGCO POSITION,Jerebelle YUTANGCO LAP TIME,Jerebelle YUTANGCO ELAPSED TIME
2,9.67,9.67,5,10.01,10.01,4,9.86,9.86,6,10.20,10.20,7,10.34,10.34,1,9.57,9.57,8,10.49,10.49,3,9.68,9.68
3,12.51,22.18,5,12.44,22.45,4,12.45,22.31,6,12.43,22.63,7,12.38,22.72,2,12.51,22.08,8,12.34,22.83,1,12.29,21.97
3,11.73,33.91,5,11.66,34.11,4,11.70,34.01,6,11.63,34.26,7,11.63,34.35,2,11.76,33.84,8,11.64,34.47,1,11.74,33.71
4,11.82,45.73,6,11.83,45.94,5,11.83,45.84,7,11.84,46.10,1,11.16,45.51,2,11.75,45.59,8,11.71,46.18,3,11.98,45.69
4,10.70,56.43,1,10.27,56.21,7,10.82,56.66,6,10.52,56.62,2,10.77,56.28,3,10.82,56.41,8,10.57,56.75,5,10.83,56.52
5,10.56,1:06.99,1,10.46,1:06.67,8,10.58,1:07.24,2,10.06,1:06.68,3,10.50,1:06.78,4,10.49,1:06.90,7,10.41,1:07.16,6,10.60,1:07.12
4,10.38,1:17.37,2,10.52,1:17.19,8,10.57,1:17.81,1,10.44,1:17.12,3,10.51,1:17.29,5,10.49,1:17.39,7,10.44,1:17.60,6,10.40,1:17.52
3,10.12,1:27.49,1,10.16,1:27.35,8,10.37,1:28.18,2,10.32,1:27.44,4,10.32,1:27.61,5,10.40,1:27.79,6,10.44,1:28.04,7,10.55,1:28.07
4,10.35,1:37.84,1,10.23,1:37.58,7,10.03,1:38.21,3,10.31,1:37.75,5,10.36,1:37.97,2,9.94,1:37.73,6,10.02,1:38.06,8,10.49,1:38.56
4,9.65,1:47.49,1,9.57,1:47.15,7,9.73,1:47.94,3,9.67,1:47.42,5,9.69,1:47.66,2,9.59,1:47.32,6,9.70,1:47.76,8,10.68,1:49.24
4,9.87,1:57.36,1,9.90,1:57.05,7,9.77,1:57.71,3,9.86,1:57.28,5,9.83,1:57.49,2,9.87,1:57.19,6,9.84,1:57.60,8,11.13,2:00.37
4,9.88,2:07.24,1,9.76,2:06.81,7,10.07,2:07.78,3,9.81,2:07.09,5,9.89,2:07.38,2,9.78,2:06.97,6,9.97,2:07.57,8,11.76,2:12.13
4,9.95,2:17.19,1,9.54,2:16.35,7,9.94,2:17.72,3,9.60,2:16.69,5,9.94,2:17.32,2,9.60,2:16.57,6,10.14,2:17.71,8,12.15,2:24.28
4,10.38,2:27.57,1,9.69,2:26.04,6,10.01,2:27.73,0,9.59,2:26.28,5,10.37,2:27.69,0,9.62,2:26.19,7,10.55,2:28.26,8,12.82,2:37.10
