Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,LEE Eun Byul POSITION,LEE Eun Byul LAP TIME,LEE Eun Byul ELAPSED TIME,Marie YOSHIDA POSITION,Marie YOSHIDA LAP TIME,Marie YOSHIDA ELAPSED TIME,Sanne van KERKHOF POSITION,Sanne van KERKHOF LAP TIME,Sanne van KERKHOF ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME
2,8.67,8.67,4,8.77,8.77,6,9.21,9.21,1,8.58,8.58,5,8.96,8.96,3,8.72,8.72
3,12.08,20.75,4,12.08,20.85,6,11.79,21.00,2,12.11,20.69,5,11.97,20.93,1,11.87,20.59
3,12.27,33.02,4,12.32,33.17,6,12.31,33.31,2,12.21,32.90,5,12.35,33.28,1,12.18,32.77
4,12.03,45.05,5,12.01,45.18,1,11.39,44.70,3,12.04,44.94,6,11.98,45.26,2,12.06,44.83
5,11.34,56.39,4,11.17,56.35,1,11.33,56.03,3,11.37,56.31,6,11.25,56.51,2,11.38,56.21
4,10.53,1:06.92,1,10.18,1:06.53,2,10.59,1:06.62,5,10.63,1:06.94,6,17.03,1:13.54,3,10.51,1:06.72
4,10.85,1:17.77,2,11.07,1:17.60,1,10.92,1:17.54,5,10.98,1:17.92,6,16.29,1:29.83,3,10.91,1:17.63
3,10.71,1:28.48,2,10.78,1:28.38,1,10.74,1:28.28,5,10.78,1:28.70,6,11.41,1:41.24,4,10.98,1:28.61
2,10.25,1:38.73,3,10.36,1:38.74,1,10.38,1:38.66,5,10.35,1:39.05,6,11.42,1:52.66,4,10.26,1:38.87
1,9.33,1:48.06,3,9.54,1:48.28,2,9.54,1:48.20,5,9.42,1:48.47,6,11.67,2:04.33,4,9.51,1:48.38
1,9.45,1:57.51,3,9.42,1:57.70,2,9.39,1:57.59,5,9.44,1:57.91,6,12.73,2:17.06,4,9.43,1:57.81
1,9.55,2:07.06,3,9.53,2:07.23,2,9.55,2:07.14,5,9.53,2:07.44,6,11.53,2:28.59,4,9.52,2:07.33
2,9.72,2:16.78,3,9.61,2:16.84,1,9.57,2:16.71,5,9.56,2:17.00,6,11.88,2:40.47,4,9.55,2:16.88
2,9.97,2:26.743,3,10.05,2:26.885,1,9.95,2:26.656,0,,PEN,5,12.00,2:52.466,4,10.10,2:26.978
