Kimberly DERRICK POSITION,Kimberly DERRICK LAP TIME,Kimberly DERRICK ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,WANG Xinyue POSITION,WANG Xinyue LAP TIME,WANG Xinyue ELAPSED TIME
1,13.36,13.36,4,14.11,14.11,2,13.71,13.71,3,14.11,14.11
2,10.88,24.24,3,10.34,24.45,1,10.53,24.24,4,10.61,24.72
1,10.15,34.39,3,10.36,34.81,2,10.30,34.54,4,10.29,35.01
1,10.28,44.67,4,10.24,45.05,2,10.15,44.69,3,10.00,45.01
1,9.77,54.44,2,9.58,54.63,4,10.57,55.26,3,9.86,54.87
3,10.04,1:04.48,2,9.75,1:04.38,4,9.44,1:04.70,1,9.17,1:04.04
3,9.56,1:14.04,1,9.28,1:13.66,4,9.57,1:14.27,2,9.78,1:13.82
3,9.74,1:23.78,2,10.12,1:23.78,4,9.59,1:23.86,1,9.92,1:23.74
0,,DQ,1,9.38,1:33.154,3,9.70,1:33.551,2,9.52,1:33.258
