REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,LIM Hyo Jun POSITION,LIM Hyo Jun LAP TIME,LIM Hyo Jun ELAPSED TIME
1,6.67,6.67,2,6.82,6.82,4,6.91,6.91,3,6.88,6.88
1,8.80,15.47,2,8.74,15.56,4,8.88,15.79,3,8.77,15.65
1,8.54,24.01,2,8.54,24.10,4,8.55,24.34,3,8.53,24.18
1,8.46,32.47,2,8.52,32.62,4,8.36,32.70,3,8.51,32.69
1,,41.077,2,,41.081,3,8.64,41.338,4,8.86,41.539
