Mathieu TURCOTTE POSITION,Mathieu TURCOTTE LAP TIME,Mathieu TURCOTTE ELAPSED TIME,Nicola FRANCESCHINA POSITION,Nicola FRANCESCHINA LAP TIME,Nicola FRANCESCHINA ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME
1,6.734,6.734,4,6.960,6.960,2,6.885,6.885,3,6.887,6.887
3,8.888,15.621,4,8.702,15.662,1,8.680,15.564,2,8.721,15.608
1,8.510,24.130,2,8.488,24.149,4,8.685,24.249,3,8.568,24.175
2,8.600,32.730,4,9.087,33.236,3,8.572,32.821,1,8.397,32.571
1,8.93,41.659,2,8.51,41.746,4,9.25,42.069,3,9.22,41.785
