Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Miodrag POPOVIC POSITION,Miodrag POPOVIC LAP TIME,Miodrag POPOVIC ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME
1,7.738,7.738,2,7.775,7.775,3,8.088,8.088,4,8.124,8.124,6,8.446,8.446,5,8.212,8.212
1,11.410,19.147,2,11.535,19.309,6,11.731,19.819,4,11.501,19.626,5,11.373,19.819,3,11.339,19.550
1,11.108,30.255,2,11.244,30.554,6,11.240,31.058,3,11.205,30.831,5,11.127,30.946,4,11.291,30.841
1,11.438,41.693,2,11.162,41.716,6,11.355,42.414,3,11.287,42.117,5,11.331,42.276,4,11.302,42.143
1,11.334,53.028,2,11.398,53.113,6,11.258,53.672,4,11.351,53.468,5,11.268,53.544,3,11.072,53.214
1,9.952,1:02.979,3,10.091,1:03.205,6,10.532,1:04.204,5,10.014,1:03.482,4,9.889,1:03.433,2,9.831,1:03.045
1,9.919,1:12.898,3,10.064,1:13.269,6,10.776,1:14.980,5,10.028,1:13.510,4,10.005,1:13.438,2,10.175,1:13.220
1,10.135,1:23.032,2,9.988,1:23.257,6,10.858,1:25.838,4,10.139,1:23.649,5,10.352,1:23.790,3,10.127,1:23.348
1,10.205,1:33.237,3,10.247,1:33.503,6,11.125,1:36.963,4,10.042,1:33.691,5,10.029,1:33.819,2,10.058,1:33.405
1,10.000,1:43.238,3,10.049,1:43.552,6,11.336,1:48.300,5,10.100,1:43.791,4,9.861,1:43.681,2,9.866,1:43.271
2,9.720,1:52.957,3,9.472,1:53.025,6,11.613,1:59.913,4,9.920,1:53.711,5,10.941,1:54.622,1,9.644,1:52.914
3,9.687,2:02.644,1,9.323,2:02.348,6,12.248,2:12.160,4,9.900,2:03.611,5,11.313,2:05.935,2,9.629,2:02.544
3,9.721,2:12.365,1,9.785,2:12.132,6,12.613,2:24.774,4,10.396,2:14.007,5,12.147,2:18.082,2,9.615,2:12.159
2,9.995,2:22.360,3,10.233,2:22.365,6,11.454,2:36.227,4,11.877,2:25.884,5,12.702,2:30.784,1,10.145,2:22.304
